City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,west island,-12.1568,96.8225,24.99,83,16,5.14,CC,1695846267
84,dolores,-36.3132,-57.6792,17.0,58,18,4.28,AR,1695846267
85,itaituba,-4.2761,-55.9836,38.09,41,20,1.06,BR,1695846267
86,san patricio,28.017,-97.5169,35.97,38,92,4.17,US,1695846267
87,udachny,66.4167,112.4,1.92,80,65,7.08,RU,1695846268
88,bamboo flat,11.7,92.7167,25.05,94,100,2.57,IN,1695846268
89,thompson,55.7435,-97.8558,21.09,56,100,7.2,CA,1695846268
90,invercargill,-46.4,168.35,8.34,95,91,4.02,NZ,1695846268
91,bakewar,26.6667,79.1833,27.55,60,0,1.57,IN,1695846268
92,lata,40.1629,-8.3327,19.95,86,94,1.0,PT,1695846268
93,mazamari,-11.3258,-74.5308,34.25,39,85,0.84,PE,1695846269
94,tome,-36.6167,-72.95,13.34,66,92,4.32,CL,1695846210
95,tazovsky,67.4667,78.7,0.31,99,100,4.32,RU,1695846269
96,uturoa,-16.7333,-151.4333,25.64,78,15,8.99,PF,1695846269
97,kenai,60.5544,-151.2583,10.08,61,0,1.54,US,1695846269
98,ushuaia,-54.8,-68.3,5.81,45,0,8.23,AR,1695846029
99,geraldton,-28.7667,114.6,19.23,77,90,2.57,AU,1695846269
100,nouadhibou,20.931,-17.0347,22.99,73,91,8.23,MR,1695846270
101,tuncurry,-32.1667,152.5,15.75,100,84,2.79,AU,1695846270
102,alenquer,-1.9417,-54.7383,38.1,30,13,1.62,BR,1695846270
103,inari,68.906,27.0288,11.11,95,100,2.06,FI,1695846270
104,el calafate,-50.3408,-72.2768,3.15,91,100,0.34,AR,1695846270
105,talcahuano,-36.7167,-73.1167,13.82,67,40,5.66,CL,1695846209
106,mabaruma,8.2,-59.7833,29.66,73,83,3.21,GY,1695846270
107,nogliki,51.8333,143.1667,9.3,97,62,3.17,RU,1695846270
108,xilin hot,43.9667,116.0333,5.92,55,11,2.08,CN,1695846271
109,khandyga,62.6667,135.6,5.75,79,100,2.36,RU,1695846271
110,atafu village,-8.5421,-172.5159,28.14,78,25,4.42,TK,1695846271
111,pedregulho,-20.2569,-47.4767,32.39,26,25,3.6,BR,1695846271
112,albany,42.6001,-73.9662,21.36,54,100,1.35,US,1695846002
113,stanley,54.868,-1.6985,16.77,88,75,4.12,GB,1695846271
114,praia da vitoria,38.7333,-27.0667,24.14,83,40,8.67,PT,1695846271
115,inarajan village,13.2736,144.7484,26.54,97,100,4.85,GU,1695846271
116,kolosovka,56.4678,73.611,7.19,57,100,1.68,RU,1695846272
117,teshi old town,5.5836,-0.1072,26.61,83,9,4.82,GH,1695846272
118,mukalla,14.5425,49.1242,28.47,74,4,2.19,YE,1695846272
119,chinde,26.8418,88.0763,18.08,84,2,2.08,NP,1695846272
120,at taj,24.2049,23.2857,29.36,13,2,4.98,LY,1695846272
121,anderstorp,58.8833,14.2833,12.93,95,71,2.32,SE,1695846272
122,haiku-pauwela,20.9219,-156.3051,28.47,52,20,9.26,US,1695846272
123,cururupu,-1.8283,-44.8683,28.42,65,84,2.97,BR,1695846273
124,ataq,14.5377,46.8319,25.55,66,21,3.42,YE,1695846273
125,bilibino,68.0546,166.4372,-0.43,98,100,3.41,RU,1695846273
126,pico truncado,-46.7949,-67.9573,15.24,30,100,10.59,AR,1695846273
127,antsohihy,-14.8796,47.9875,24.68,55,41,5.31,MG,1695846273
128,carnarvon,-24.8667,113.6333,20.09,87,57,6.02,AU,1695846273
129,coahuayana de hidalgo,18.7,-103.6583,32.75,61,36,3.19,MX,1695846279
130,aykhal,66.0,111.5,-1.24,86,30,5.63,RU,1695846279
131,dwarka,22.2394,68.9678,26.88,75,25,4.37,IN,1695846279
132,mount gambier,-37.8333,140.7667,7.79,96,24,2.08,AU,1695846279
133,puerto deseado,-47.7503,-65.8938,12.14,50,100,2.96,AR,1695846088
134,koblenz,50.35,7.6,20.65,93,100,1.8,DE,1695846196
135,ubari,26.5921,12.7805,26.15,31,0,6.36,LY,1695846279
136,viedma,-40.8135,-62.9967,21.0,21,100,8.02,AR,1695846029
137,nikolayevsk-on-amure,53.1406,140.73,11.23,99,100,1.78,RU,1695846279
138,kharp,66.8014,65.8081,3.85,93,100,0.4,RU,1695846280
139,petropavlovsk-kamchatsky,53.0452,158.6483,-0.67,86,0,4.0,RU,1695846187
140,mil'kovo,55.6078,37.7956,12.81,66,74,1.12,RU,1695846280
141,ust'-ilimsk,58.0006,102.6619,5.22,79,100,1.28,RU,1695846195
142,ilulissat,69.2167,-51.1,3.01,52,75,5.14,GL,1695846280
143,nar'yan-mar,67.6713,53.087,9.36,93,100,6.89,RU,1695846211
144,kyshtovka,56.555,76.6271,8.83,85,100,0.71,RU,1695846137
145,boise,43.6135,-116.2035,20.91,40,75,4.12,US,1695846047
146,la libertad,-2.2333,-80.9,26.81,74,40,4.63,EC,1695846262
147,barra velha,-26.6322,-48.6847,21.95,78,90,3.2,BR,1695846281
148,flin flon,54.7682,-101.865,17.91,77,75,4.12,CA,1695846227
149,hadibu,12.65,54.0333,26.89,80,43,3.83,YE,1695846281
150,yeppoon,-23.1333,150.7333,12.88,83,0,1.33,AU,1695846281
151,tsiombe,-25.3,45.4833,20.89,84,63,1.87,MG,1695846281
152,myitkyina,25.3833,97.4,24.91,84,64,0.74,MM,1695846282
153,vuktyl,63.8567,57.3094,7.62,80,100,2.01,RU,1695846282
154,tomatlan,19.9333,-105.25,31.82,67,85,3.88,MX,1695846282
155,new norfolk,-42.7826,147.0587,12.06,83,84,1.77,AU,1695846282
156,rahatgarh,23.7833,78.3667,24.19,78,36,0.47,IN,1695846282
157,alofi,-19.0595,-169.9187,24.94,73,40,4.63,NU,1695846282
158,waingapu,-9.6567,120.2641,23.76,84,8,2.39,ID,1695846283
159,prado,-17.3411,-39.2208,25.97,74,24,9.15,BR,1695846052
160,tokmok,42.8417,75.3016,15.64,41,7,1.84,KG,1695846283
161,kilju,40.9642,129.3278,17.91,82,99,1.39,KP,1695846283
162,fuglafjordur,62.244,-6.814,10.26,91,100,6.12,FO,1695846283
163,st. john's,47.5649,-52.7093,11.1,79,100,4.12,CA,1695846033
164,indramayu,-6.3264,108.32,25.11,71,79,4.08,ID,1695846283
165,vila velha,-20.3297,-40.2925,28.3,79,0,7.72,BR,1695846284
166,badger,64.8,-147.5333,1.95,82,100,0.0,US,1695846284
167,magdagachi,53.45,125.8,7.18,96,91,2.25,RU,1695846284
168,yuma,32.7253,-114.6244,41.05,9,20,0.0,US,1695846284
169,college,64.8569,-147.8028,1.99,82,100,0.0,US,1695846284
170,santa elena de uairen,4.6167,-61.1333,30.05,41,65,4.19,VE,1695846285
171,monrovia,6.3005,-10.7969,24.87,87,88,3.3,LR,1695846285
172,port douglas,-16.4833,145.4667,22.17,73,82,6.94,AU,1695846285
173,cacu,-18.5567,-51.1308,36.03,22,94,1.52,BR,1695846285
174,cabo san lucas,22.8909,-109.9124,36.45,67,0,5.81,MX,1695846028
175,port saint john's,-31.6229,29.5448,17.66,64,97,5.18,ZA,1695846285
176,sukuta,13.4103,-16.7082,28.01,89,40,0.0,GM,1695846286
